event_id,type_of_events
17879,"christian"
17878,"christian"
17877,"christian"
17876,"courses_training_or_mentoring"
17875,"christian"
17874,"christian"
17873,"courses_training_or_mentoring"
17872,"courses_training_or_mentoring"
17871,"christian"
17870,"courses_training_or_mentoring"
17869,"courses_training_or_mentoring"
17868,"christian"
17867,"courses_training_or_mentoring"
17866,"courses_training_or_mentoring"
17865,"christian"
17864,"christian"
17863,"christian"
17862,"courses_training_or_mentoring"
17861,"christian"
17860,"christian"
17859,"courses_training_or_mentoring"
17858,"courses_training_or_mentoring"
17857,"courses_training_or_mentoring"
17856,"christian"
17855,"courses_training_or_mentoring"
17854,"courses_training_or_mentoring"
17853,"courses_training_or_mentoring"
17852,"courses_training_or_mentoring"
17851,"christian"
17850,"courses_training_or_mentoring"
17849,"courses_training_or_mentoring"
17848,"courses_training_or_mentoring"
17847,"courses_training_or_mentoring"
17846,"courses_training_or_mentoring"
17845,"christian"
17844,"courses_training_or_mentoring"
17843,"courses_training_or_mentoring"
17842,"christian"
17841,"courses_training_or_mentoring"
17840,"courses_training_or_mentoring"
17839,"christian"
17838,"christian"
17837,"christian"
17836,"courses_training_or_mentoring"
17835,"christian"
17834,"christian"
17833,"christian"
17832,"christian"
17831,"courses_training_or_mentoring"
17830,"christian"
17829,"courses_training_or_mentoring"
17828,"courses_training_or_mentoring"
17827,"christian"
17826,"courses_training_or_mentoring"
17825,"christian"
17824,"courses_training_or_mentoring"
17823,"christian"
17822,"courses_training_or_mentoring"
17821,"christian"
17820,"courses_training_or_mentoring"
17819,"courses_training_or_mentoring"
17818,"courses_training_or_mentoring"
17817,"courses_training_or_mentoring"
17816,"courses_training_or_mentoring"
17815,"christian"
17814,"christian"
17813,"courses_training_or_mentoring"
17812,"courses_training_or_mentoring"
17811,"christian"
17810,"courses_training_or_mentoring"
17809,"courses_training_or_mentoring"
17808,"courses_training_or_mentoring"
17807,"courses_training_or_mentoring"
17806,"courses_training_or_mentoring"
17805,"courses_training_or_mentoring"
17804,"courses_training_or_mentoring"
17803,"courses_training_or_mentoring"
17802,"courses_training_or_mentoring"
17801,"courses_training_or_mentoring"
17800,"christian"
17799,"christian"
17798,"courses_training_or_mentoring"
17797,"courses_training_or_mentoring"
17796,"courses_training_or_mentoring"
17795,"courses_training_or_mentoring"
17794,"courses_training_or_mentoring"
17793,"courses_training_or_mentoring"
17792,"courses_training_or_mentoring"
17791,"christian"
17790,"christian"
17789,"courses_training_or_mentoring"
17788,"christian"
17787,"christian"
17786,"christian"
17785,"courses_training_or_mentoring"
17784,"christian"
17783,"courses_training_or_mentoring"
17782,"christian"
17781,"courses_training_or_mentoring"
17780,"courses_training_or_mentoring"
17779,"courses_training_or_mentoring"
17778,"courses_training_or_mentoring"
17777,"courses_training_or_mentoring"
17776,"courses_training_or_mentoring"
17775,"christian"
17774,"courses_training_or_mentoring"
17773,"christian"
17772,"courses_training_or_mentoring"
17771,"christian"
17770,"christian"
17769,"courses_training_or_mentoring"
17768,"courses_training_or_mentoring"
17767,"courses_training_or_mentoring"
17766,"courses_training_or_mentoring"
17765,"christian"
17764,"christian"
17763,"christian"
17762,"courses_training_or_mentoring"
17761,"courses_training_or_mentoring"
17760,"courses_training_or_mentoring"
17759,"courses_training_or_mentoring"
17758,"courses_training_or_mentoring"
17757,"christian"
17756,"christian"
17755,"christian"
17754,"courses_training_or_mentoring"
17753,"christian"
17752,"courses_training_or_mentoring"
17751,"christian"
17750,"christian"
17749,"courses_training_or_mentoring"
17748,"courses_training_or_mentoring"
17747,"courses_training_or_mentoring"
17746,"courses_training_or_mentoring"
17745,"christian"
17744,"courses_training_or_mentoring"
17743,"christian"
17742,"christian"
17741,"christian"
17740,"christian"
17739,"courses_training_or_mentoring"
17738,"courses_training_or_mentoring"
17737,"courses_training_or_mentoring"
17736,"christian"
17735,"courses_training_or_mentoring"
17734,"christian"
17733,"courses_training_or_mentoring"
17732,"courses_training_or_mentoring"
17731,"christian"
17730,"courses_training_or_mentoring"
17729,"christian"
17728,"courses_training_or_mentoring"
17727,"courses_training_or_mentoring"
17726,"courses_training_or_mentoring"
17725,"courses_training_or_mentoring"
17724,"courses_training_or_mentoring"
17723,"courses_training_or_mentoring"
17722,"courses_training_or_mentoring"
17721,"courses_training_or_mentoring"
17720,"christian"
17719,"christian"
17718,"courses_training_or_mentoring"
17717,"courses_training_or_mentoring"
17716,"christian"
17715,"christian"
17714,"courses_training_or_mentoring"
17713,"christian"
17712,"courses_training_or_mentoring"
17711,"courses_training_or_mentoring"
17710,"courses_training_or_mentoring"
17709,"courses_training_or_mentoring"
17708,"christian"
17707,"courses_training_or_mentoring"
17706,"courses_training_or_mentoring"
17705,"courses_training_or_mentoring"
17704,"courses_training_or_mentoring"
17703,"courses_training_or_mentoring"
17702,"courses_training_or_mentoring"
17701,"christian"
17700,"courses_training_or_mentoring"
17699,"courses_training_or_mentoring"
17698,"christian"
17697,"courses_training_or_mentoring"
17696,"courses_training_or_mentoring"
17695,"courses_training_or_mentoring"
17694,"christian"
17693,"courses_training_or_mentoring"
17692,"christian"
17691,"courses_training_or_mentoring"
17690,"christian"
17689,"courses_training_or_mentoring"
17688,"courses_training_or_mentoring"
17687,"courses_training_or_mentoring"
17686,"christian"
17685,"christian"
17684,"courses_training_or_mentoring"
17683,"courses_training_or_mentoring"
17682,"courses_training_or_mentoring"
17681,"christian"
17680,"christian"
17679,"courses_training_or_mentoring"
17678,"christian"
17677,"courses_training_or_mentoring"
17676,"courses_training_or_mentoring"
17675,"christian"
17674,"christian"
17673,"christian"
17672,"christian"
17671,"courses_training_or_mentoring"
17670,"christian"
17669,"courses_training_or_mentoring"
17668,"courses_training_or_mentoring"
17667,"courses_training_or_mentoring"
17666,"courses_training_or_mentoring"
17665,"courses_training_or_mentoring"
17664,"courses_training_or_mentoring"
17663,"courses_training_or_mentoring"
17662,"christian"
17661,"courses_training_or_mentoring"
17660,"courses_training_or_mentoring"
17659,"christian"
17658,"courses_training_or_mentoring"
17657,"courses_training_or_mentoring"
17656,"courses_training_or_mentoring"
17655,"courses_training_or_mentoring"
17654,"christian"
17653,"courses_training_or_mentoring"
17652,"christian"
17651,"courses_training_or_mentoring"
17650,"courses_training_or_mentoring"
17649,"courses_training_or_mentoring"
17648,"courses_training_or_mentoring"
17647,"courses_training_or_mentoring"
17646,"courses_training_or_mentoring"
17645,"courses_training_or_mentoring"
17644,"courses_training_or_mentoring"
17643,"courses_training_or_mentoring"
17642,"courses_training_or_mentoring"
17641,"courses_training_or_mentoring"
17640,"christian"
17639,"courses_training_or_mentoring"
17638,"christian"
17637,"courses_training_or_mentoring"
17636,"courses_training_or_mentoring"
17635,"christian"
17634,"christian"
17633,"christian"
17632,"christian"
17631,"courses_training_or_mentoring"
17630,"christian"
17629,"courses_training_or_mentoring"
17628,"courses_training_or_mentoring"
17627,"courses_training_or_mentoring"
17626,"courses_training_or_mentoring"
17625,"christian"
17624,"christian"
17623,"courses_training_or_mentoring"
17622,"courses_training_or_mentoring"
17621,"courses_training_or_mentoring"
17620,"courses_training_or_mentoring"
17619,"christian"
17618,"courses_training_or_mentoring"
17617,"courses_training_or_mentoring"
17616,"courses_training_or_mentoring"
17615,"courses_training_or_mentoring"
17614,"christian"
17613,"christian"
17612,"courses_training_or_mentoring"
17611,"courses_training_or_mentoring"
17610,"courses_training_or_mentoring"
17609,"courses_training_or_mentoring"
17608,"courses_training_or_mentoring"
17607,"courses_training_or_mentoring"
17606,"courses_training_or_mentoring"
17605,"courses_training_or_mentoring"
17604,"courses_training_or_mentoring"
17603,"christian"
17602,"courses_training_or_mentoring"
17601,"courses_training_or_mentoring"
17600,"courses_training_or_mentoring"
17599,"courses_training_or_mentoring"
17598,"courses_training_or_mentoring"
17597,"courses_training_or_mentoring"
17596,"courses_training_or_mentoring"
17595,"courses_training_or_mentoring"
17594,"christian"
17593,"courses_training_or_mentoring"
17592,"courses_training_or_mentoring"
17591,"courses_training_or_mentoring"
17590,"courses_training_or_mentoring"
17589,"courses_training_or_mentoring"
17588,"courses_training_or_mentoring"
17587,"courses_training_or_mentoring"
17586,"christian"
17585,"courses_training_or_mentoring"
17584,"courses_training_or_mentoring"
17583,"courses_training_or_mentoring"
17582,"courses_training_or_mentoring"
17581,"courses_training_or_mentoring"
17580,"courses_training_or_mentoring"
17579,"christian"
17578,"courses_training_or_mentoring"
17577,"courses_training_or_mentoring"
17576,"courses_training_or_mentoring"
17575,"courses_training_or_mentoring"
17574,"courses_training_or_mentoring"
17573,"courses_training_or_mentoring"
17572,"courses_training_or_mentoring"
17571,"courses_training_or_mentoring"
17570,"christian"
17569,"courses_training_or_mentoring"
17568,"courses_training_or_mentoring"
17567,"courses_training_or_mentoring"
17566,"courses_training_or_mentoring"
17565,"courses_training_or_mentoring"
17564,"courses_training_or_mentoring"
17563,"courses_training_or_mentoring"
17562,"christian"
17561,"courses_training_or_mentoring"
17560,"christian"
17559,"courses_training_or_mentoring"
17558,"courses_training_or_mentoring"
17557,"christian"
17556,"courses_training_or_mentoring"
17555,"courses_training_or_mentoring"
17554,"courses_training_or_mentoring"
17553,"courses_training_or_mentoring"
17552,"courses_training_or_mentoring"
17551,"christian"
17550,"christian"
17549,"courses_training_or_mentoring"
17548,"courses_training_or_mentoring"
17547,"courses_training_or_mentoring"
17546,"courses_training_or_mentoring"
17545,"courses_training_or_mentoring"
17544,"christian"
17543,"christian"
17542,"courses_training_or_mentoring"
17541,"courses_training_or_mentoring"
17540,"courses_training_or_mentoring"
17539,"christian"
17538,"christian"
17537,"courses_training_or_mentoring"
17536,"courses_training_or_mentoring"
17535,"christian"
17534,"courses_training_or_mentoring"
17533,"courses_training_or_mentoring"
17532,"courses_training_or_mentoring"
17531,"courses_training_or_mentoring"
17530,"christian"
17529,"christian"
17528,"courses_training_or_mentoring"
17527,"courses_training_or_mentoring"
17526,"christian"
17525,"courses_training_or_mentoring"
17524,"courses_training_or_mentoring"
17523,"christian"
17522,"christian"
17521,"courses_training_or_mentoring"
17520,"christian"
17519,"courses_training_or_mentoring"
17518,"courses_training_or_mentoring"
17517,"courses_training_or_mentoring"
17516,"courses_training_or_mentoring"
17515,"courses_training_or_mentoring"
17514,"christian"
17513,"courses_training_or_mentoring"
17512,"courses_training_or_mentoring"
17511,"courses_training_or_mentoring"
17510,"courses_training_or_mentoring"
17509,"courses_training_or_mentoring"
17508,"courses_training_or_mentoring"
17507,"courses_training_or_mentoring"
17506,"courses_training_or_mentoring"
17505,"courses_training_or_mentoring"
17504,"courses_training_or_mentoring"
17503,"christian"
17502,"christian"
17501,"courses_training_or_mentoring"
17500,"courses_training_or_mentoring"
17499,"courses_training_or_mentoring"
17498,"courses_training_or_mentoring"
17497,"courses_training_or_mentoring"
17496,"courses_training_or_mentoring"
17495,"courses_training_or_mentoring"
17494,"courses_training_or_mentoring"
17493,"courses_training_or_mentoring"
17492,"courses_training_or_mentoring"
17491,"courses_training_or_mentoring"
17490,"courses_training_or_mentoring"
17489,"christian"
17488,"courses_training_or_mentoring"
17487,"courses_training_or_mentoring"
17486,"courses_training_or_mentoring"
17485,"christian"
17484,"courses_training_or_mentoring"
17483,"courses_training_or_mentoring"
17482,"courses_training_or_mentoring"
17481,"courses_training_or_mentoring"
17480,"christian"
17479,"christian"
17478,"christian"
17477,"christian"
17476,"christian"
17475,"courses_training_or_mentoring"
17474,"christian"
17473,"christian"
17472,"christian"
17471,"christian"
17470,"christian"
17469,"courses_training_or_mentoring"
17468,"courses_training_or_mentoring"
17467,"christian"
17466,"courses_training_or_mentoring"
17465,"christian"
17464,"courses_training_or_mentoring"
17463,"christian"
17462,"christian"
17461,"christian"
17460,"courses_training_or_mentoring"
17459,"courses_training_or_mentoring"
17458,"courses_training_or_mentoring"
17457,"courses_training_or_mentoring"
17456,"courses_training_or_mentoring"
17455,"courses_training_or_mentoring"
17454,"courses_training_or_mentoring"
17453,"courses_training_or_mentoring"
17452,"courses_training_or_mentoring"
17451,"courses_training_or_mentoring"
17450,"courses_training_or_mentoring"
17449,"courses_training_or_mentoring"
17448,"courses_training_or_mentoring"
17447,"christian"
17446,"christian"
17445,"courses_training_or_mentoring"
17444,"courses_training_or_mentoring"
17443,"christian"
17442,"courses_training_or_mentoring"
17441,"christian"
17440,"courses_training_or_mentoring"
17439,"christian"
17438,"christian"
17437,"courses_training_or_mentoring"
17436,"courses_training_or_mentoring"
17435,"courses_training_or_mentoring"
17434,"courses_training_or_mentoring"
17433,"courses_training_or_mentoring"
17432,"courses_training_or_mentoring"
17431,"courses_training_or_mentoring"
17430,"christian"
17429,"courses_training_or_mentoring"
17428,"courses_training_or_mentoring"
17427,"courses_training_or_mentoring"
17426,"courses_training_or_mentoring"
17425,"courses_training_or_mentoring"
17424,"courses_training_or_mentoring"
17423,"courses_training_or_mentoring"
17422,"courses_training_or_mentoring"
17421,"christian"
17420,"christian"
17419,"courses_training_or_mentoring"
17418,"christian"
17417,"christian"
17416,"courses_training_or_mentoring"
17415,"christian"
17414,"courses_training_or_mentoring"
17413,"courses_training_or_mentoring"
17412,"courses_training_or_mentoring"
17411,"courses_training_or_mentoring"
17410,"courses_training_or_mentoring"
17409,"courses_training_or_mentoring"
17408,"christian"
17407,"courses_training_or_mentoring"
17406,"courses_training_or_mentoring"
17405,"courses_training_or_mentoring"
17404,"christian"
17403,"courses_training_or_mentoring"
17402,"courses_training_or_mentoring"
17401,"courses_training_or_mentoring"
17400,"courses_training_or_mentoring"
17399,"courses_training_or_mentoring"
17398,"courses_training_or_mentoring"
17397,"courses_training_or_mentoring"
17396,"courses_training_or_mentoring"
17395,"courses_training_or_mentoring"
17394,"courses_training_or_mentoring"
17393,"christian"
17392,"courses_training_or_mentoring"
17391,"courses_training_or_mentoring"
17390,"courses_training_or_mentoring"
17389,"courses_training_or_mentoring"
17388,"christian"
17387,"christian"
17386,"courses_training_or_mentoring"
17385,"courses_training_or_mentoring"
17384,"christian"
17383,"christian"
17382,"courses_training_or_mentoring"
17381,"courses_training_or_mentoring"
17380,"courses_training_or_mentoring"
17379,"christian"
17378,"christian"
17377,"courses_training_or_mentoring"
17376,"christian"
17375,"christian"
17374,"courses_training_or_mentoring"
